	Movie ID	Genre	Name	Year	Director	Cast	imDB rating	label
726	1373	Action|Adventure|Sci-Fi	Star Trek V: The Final Frontier	1989	William Shatner	William Shatner, Leonard Nimoy	5.4	0
727	1372	Action|Adventure|Sci-Fi	Star Trek VI: The Undiscovered Country	1991	Nicholas Meyer	William Shatner, Leonard Nimoy	7.2	0
728	1376	Action|Adventure|Sci-Fi	Star Trek IV: The Voyage Home	1986	Leonard Nimoy	William Shatner, Leonard Nimoy	7.3	0
732	1375	Action|Adventure|Sci-Fi	Star Trek III: The Search for Spock	1984	Leonard Nimoy	William Shatner, Leonard Nimoy	6.6	0
734	1385	Action	Under Siege	1992	Andrew Davis	Steven Seagal, Damian Chapa	6.4	0
735	1383	Action|Sci-Fi	Adrenalin: Fear the Rush	1996	Albert Pyun	Christopher Lambert, Natasha Henstridge	3.9	0
737	1386	Western	Terror in a Texas Town	1958	Joseph H. Lewis	Sterling Hayden, Sebastian Cabot	6.9	0
739	1392	Comedy|Drama	Citizen Ruth	1996	Alexander Payne	Laura Dern, Swoosie Kurtz	7.0	0
744	1395	Comedy|Drama	Tin Men	1987	Barry Levinson	Richard Dreyfuss, Danny DeVito	6.5	0
745	1398	Romance|War	In Love and War	1996	Richard Attenborough	Mackenzie Astin, Chris O'Donnell	6.0	0
749	1407	Horror|Thriller	Scream	1996	Wes Craven	Drew Barrymore, Roger Jackson	7.2	0
755	1426	Children's	Zeus and Roxanne	1997	George Miller	Steve Guttenberg, Kathleen Quinlan	5.2	0
757	1427	Thriller	Turbulence	1997	Robert Butler	Ray Liotta, Lauren Holly	4.7	0
762	1438	Action|Thriller	Dante's Peak	1997	Roger Donaldson	Pierce Brosnan, Linda Hamilton	5.8	0
765	1447	Crime	Gridlock'd	1997	Vondie Curtis-Hall	Tupac Shakur, Tim Roth	7.0	0
769	1459	Mystery|Thriller	Absolute Power	1997	Clint Eastwood	Clint Eastwood, Gene Hackman	6.7	0
772	1462	Documentary	Unforgotten: Twenty-Five Years After Willowbrook	1996	Jack Fisher	Danny Aiello, Geraldo Rivera	6.4	0
774	1464	Mystery	Lost Highway	1997	David Lynch	Bill Pullman, Patricia Arquette	7.6	0
777	1475	Romance	Kama Sutra: A Tale of Love	1996	Mira Nair	Indira Varma, Sarita Choudhury	6.0	0
778	1472	Crime|Thriller	City of Industry	1997	John Irvin	Harvey Keitel, Stephen Dorff	6.2	0
779	1476	Comedy|Drama	Private Parts	1997	Betty Thomas	Howard Stern, Robin Quivers	6.8	0
780	1477	Romance	Love Jones	1997	Theodore Witcher	Larenz Tate, Nia Long	7.4	0
785	1489	Animation|Children's|Musical	Cats Don't Dance	1997	Mark Dindal	Scott Bakula, Jasmine Guy	6.9	0
786	1493	Romance	Love and Other Catastrophes	1996	Emma-Kate Croghan	Matt Day, Matthew Dyktynski	6.4	0
787	1495	Action|Adventure|Children's	Turbo: A Power Rangers Movie	1997	Shuki Levy,David Winning	Jon Simanton, Kai Doi	3.4	0
788	1499	Action|Adventure|Thriller	Anaconda	1997	Luis Llosa	Jennifer Lopez, Ice Cube	4.6	0
789	1497	Action	Double Team	1997	Hark Tsui	Jean-Claude Van Damme, Dennis Rodman	4.7	0
792	1501	Crime	Keys to Tulsa	1997	Leslie Greif	Eric Stoltz, James Spader	5.2	0
799	1514	Romance	Temptress Moon	1996	Chen Kaige	Leslie Cheung, Li Gong	6.9	0
802	1518	Action|Thriller	Breakdown	1997	Jonathan Mostow	Kurt Russell, J.T. Walsh	6.9	0
804	1525	Action|Adventure|Children's|Fantasy	Warriors of Virtue	1997	Ronny Yu	Angus Macfadyen, Mario Yedidia	4.6	0
812	1542	Comedy|Drama|Romance	Brassed Off	1996	Mark Herman	Pete Postlethwaite, Tara Fitzgerald	7.1	0
818	1552	Action|Adventure|Thriller	Con Air	1997	Simon West	Colm Meaney, Mykelti Williamson	6.8	0
826	1573	Action|Sci-Fi|Thriller	Face/Off	1997	John Woo	John Travolta, Nicolas Cage	7.3	0
827	1570	Sci-Fi	Tetsuo II: Body Hammer	1992	Shin'ya Tsukamoto	Tomorowo Taguchi, Shin'ya Tsukamoto	6.4	0
832	1582	Adventure|Children's	Wild America	1997	William Dear	Jonathan Taylor Thomas, Devon Sawa	6.3	0
837	1591	Action|Adventure|Sci-Fi|Thriller	Spawn	1997	Mark A.Z. Dipp	Michael Jai White, John Leguizamo	5.2	0
839	1590	Action|Mystery|Sci-Fi|Thriller	Event Horizon	1997	Paul W.S. Anderson	Laurence Fishburne, Sam Neill	6.7	0
843	1597	Action|Mystery|Romance|Thriller	Conspiracy Theory	1997	Richard Donner	Mel Gibson, Julia Roberts	6.7	0
844	1599	Action	Steel	1997	Kenneth Johnson	Shaquille O'Neal, Annabeth Gish	2.7	0
848	1603	Sci-Fi|Thriller	Mimic	1997	Guillermo del Toro	Mira Sorvino, Jeremy Northam	5.9	0
850	1608	Action|Thriller	Air Force One	1997	Wolfgang Petersen	Harrison Ford, Gary Oldman	6.4	0
851	1605	Adventure|Romance	Excess Baggage	1997	Marco Brambilla	Alicia Silverstone, Benicio Del Toro	5.2	0
852	1606	Action|Adventure	Kull the Conqueror	1997	John Nicolella	Kevin Sorbo, Tia Carrere	4.8	0
855	1617	Crime|Film-Noir|Mystery|Thriller	L.A. Confidential	1997	Curtis Hanson	Kevin Spacey, Russell Crowe	8.3	0
859	1623	Horror	Wishmaster	1997	Robert Kurtzman	Tammy Lauren, Andrew Divoff	5.7	0
860	1627	Action|Crime|Mystery	U Turn	1997	Oliver Stone	Sean Penn, Billy Bob Thornton	6.8	0
861	1622	Comedy|Drama	Kicked in the Head	1997	Matthew Harrison	Kevin Corrigan, Linda Fiorentino	3.7	0
865	1636	Action|Thriller	Stag	1997	Gavin Wilding	John Stockwell, Mario Van Peebles	5.6	0
867	1644	Horror|Mystery|Thriller	I Know What You Did Last Summer	1997	Jim Gillespie	Jennifer Love Hewitt, Sarah Michelle Gellar	5.6	0
868	1647	Crime|Thriller	Playing God	1997	Andy Wilson	David Duchovny, Timothy Hutton	5.6	0
869	1655	Horror	Phantoms	1998	Joe Chappelle	Peter O'Toole, Rose McGowan	5.4	0
873	1652	Documentary	Year of the Horse	1997	Jim Jarmusch	Ralph Molina, Frank 'Pancho' Sampedro	6.6	0
876	1661	Thriller	Switchback	1997	Jeb Stuart	Claudia Stedelin, Ian Nelson	6.4	0
880	1666	Romance	Hugo Pool	1997	Robert Downey Sr.	Alyssa Milano, Mark Boone Junior	5.2	0
881	1675	Crime|Thriller	Incognito	1997	John Badham	Jason Patric, Irne Jacob	6.6	0
882	1671	Crime	Deceiver	1997	Jonas Pate,Josh Pate	Tim Roth, Chris Penn	6.7	0
884	1676	Action|Adventure|Sci-Fi|War	Starship Troopers	1997	Paul Verhoeven	Casper Van Dien, Dina Meyer	7.2	0
888	1681	Action|Adventure	Mortal Kombat: Annihilation	1997	John R. Leonetti	Robin Shou, Talisa Soto	3.7	0
889	1688	Animation|Children's|Musical	Anastasia	1997	Don Bluth,Gary Goldman	Meg Ryan, John Cusack	7.1	0
890	1686	Crime|Thriller	Red Corner	1997	Jon Avnet	Richard Gere, Bai Ling	6.2	0
891	1690	Action|Horror|Sci-Fi	Alien: Resurrection	1997	Jean-Pierre Jeunet	Sigourney Weaver, Winona Ryder	6.3	0
894	1701	Comedy|Drama	Deconstructing Harry	1997	Woody Allen	Judy Davis, Julia Louis-Dreyfus	7.4	0
898	1709	Thriller	Legal Deceit	1997	Monika Harris	Lela Rochon, Jeffrey Dean Morgan	3.8	0
900	1711	Comedy|Crime|Drama|Mystery	Midnight in the Garden of Good and Evil	1997	Clint Eastwood	John Cusack, Kevin Spacey	6.6	0
901	1715	Thriller	Office Killer	1997	Cindy Sherman	Carol Kane, Molly Ringwald	4.9	0
902	1714	Romance	Never Met Picasso	1996	Stephen Kijak	Alexis Arquette, Georgia Ragsdale	6.0	0
903	1722	Action|Romance|Thriller	Tomorrow Never Dies	1997	Roger Spottiswoode	Pierce Brosnan, Jonathan Pryce	6.5	0
910	1742	Crime	Caught Up	1998	Darin Scott	Bokeem Woodbine, Damon Saleem	5.4	0
911	1744	Action|Adventure|Thriller	Firestorm	1998	Dean Semler	Howie Long, Scott Glenn	4.6	0
912	1747	Comedy|Drama	Wag the Dog	1997	Barry Levinson	Dustin Hoffman, Robert De Niro	7.1	0
913	1748	Film-Noir|Sci-Fi|Thriller	Dark City	1998	Alex Proyas	Rufus Sewell, William Hurt	7.7	0
915	1750	Adventure|Children's|Fantasy|Sci-Fi	Star Kid	1997	Manny Coto	Joseph Mazzello, Richard Gilliland	5.4	0
917	1754	Action|Mystery|Thriller	Fallen	1998	Gregory Hoblit	Denzel Washington, John Goodman	7.0	0
918	1752	Action|Thriller	Hard Rain	1998	Mikael Salomon	Morgan Freeman, Christian Slater	5.8	0
919	1755	Romance	Shooting Fish	1997	Stefan Schwartz	Rowena Cooper, Scott Charles	6.6	0
921	1762	Action|Horror|Sci-Fi	Deep Rising	1998	Stephen Sommers	Treat Williams, Famke Janssen	6.0	0
924	1770	Romance|Thriller	B. Monkey	1998	Michael Radford	Asia Argento, Jared Harris	6.0	0
926	1774	Comedy|Drama	Mass Transit	1998	Kevin Goetz,Michael Goetz		7.0	0
927	1780	Documentary	Ayn Rand: A Sense of Life	1997	Michael Paxton	Sharon Gless, Michael S. Berliner	6.8	0
928	1783	Film-Noir|Mystery|Thriller	Palmetto	1998	Volker Schlndorff	Woody Harrelson, Elisabeth Shue	6.0	0
929	1785	Action|Crime	King of New York	1990	Abel Ferrara	Christopher Walken, David Caruso	7.0	0
931	1794	Comedy|Drama	Love and Death on Long Island	1997	Richard Kwietniowski	John Hurt, Jason Priestley	7.1	0
932	1798	Thriller	Hush	1998	Jonathan Darby	Jessica Lange, Gwyneth Paltrow	5.2	0
936	1812	Children's|Comedy|Drama	Wide Awake	1998	M. Night Shyamalan	Joseph Cross, Timothy Reifsnyder	6.2	0
938	1816	Comedy|Drama	Two Girls and a Guy	1997	James Toback	Natasha Gregson Wagner, Heather Graham	5.6	0
939	1817	Comedy|Drama|Romance	No Looking Back	1998	Edward Burns	Lauren Holly, Kevin Heffernan	5.9	0
940	1826	Adventure|Children's	Barney's Great Adventure	1998	Steve Gomer	Alan Fawcett, Jane Wheeler	2.8	0
946	1835	Romance	City of Angels	1998	Brad Silberling	Nicolas Cage, Meg Ryan	6.7	0
960	1862	Horror|Sci-Fi	Species II	1998	Peter Medak	Michael Madsen, Natasha Henstridge	4.3	0
964	1867	Action|Adventure	Tarzan and the Lost City	1998	Carl Schenkel	Casper Van Dien, Jane March	3.9	0
965	1869	Action|Thriller	Black Dog	1998	Kevin Hooks	Patrick Swayze, Meat Loaf	5.3	0
973	1881	Adventure|Animation|Children's|Fantasy	Quest for Camelot	1998	Frederik Du Chau	Jessalyn Gilsig, Andrea Corr	6.2	0
974	1884	Comedy|Drama	Fear and Loathing in Las Vegas	1998	Terry Gilliam	Johnny Depp, Benicio Del Toro	7.7	0
977	1888	Comedy|Drama|Romance	Hope Floats	1998	Forest Whitaker	Sandra Bullock, Harry Connick Jr.	5.9	0
978	1889	Thriller	Insomnia	1997	Erik Skjoldbjrg	Maria Mathiesen, Stellan Skarsgrd	7.3	0
982	1895	Comedy|Drama|Romance	Can't Hardly Wait	1998	Harry Elfont,Deborah Kaplan	Jennifer Love Hewitt, Ethan Embry	6.5	0
986	1904	Comedy|Drama	Henry Fool	1997	Hal Hartley	Thomas Jay Ryan, James Urbaniak	7.4	0
987	1907	Animation|Children's	Mulan	1998	Tony Bancroft,Barry Cook	Ming-Na Wen, Lea Salonga	7.5	0
991	2135	Adventure|Musical	Doctor Dolittle	1967	Richard Fleischer	Rex Harrison, Samantha Eggar	6.2	0
994	1912	Action|Crime|Romance	Out of Sight	1998	Steven Soderbergh	George Clooney, Jennifer Lopez	7.1	0
995	1914	Comedy|Drama	Smoke Signals	1998	Chris Eyre	Adam Beach, Evan Adams	7.2	0
997	1920	Animation|Children's|Fantasy|War	Small Soldiers	1998	Joe Dante	David Cross, Jay Mohr	6.1	0
1000	1927	War	All Quiet on the Western Front	1930	Lewis Milestone	Louis Wolheim, Lew Ayres	8.1	0
1002	1928	Western	Cimarron	1931	Wesley Ruggles	Richard Dix, Irene Dunne	6.0	0
1012	1947	Musical|Romance	West Side Story	1961	Jerome Robbins,Robert Wise	Natalie Wood, Richard Beymer	7.6	0
1019	1958	Comedy|Drama	Terms of Endearment	1983	James L. Brooks	Shirley MacLaine, Debra Winger	7.4	0
1027	1973	Horror	Freddy's Dead: The Final Nightmare	1991	Rachel Talalay	Robert Englund, Lisa Zane	4.9	0
1028	1987	Horror	Prom Night	1980	Paul Lynch	Leslie Nielsen, Jamie Lee Curtis	5.4	0
1029	1991	Horror	Child's Play	1988	Tom Holland	Catherine Hicks, Chris Sarandon	6.5	0
1030	1995	Horror|Thriller	Poltergeist II: The Other Side	1986	Brian Gibson	JoBeth Williams, Craig T. Nelson	5.7	0
1031	1996	Horror|Thriller	Poltergeist III	1988	Gary Sherman	Tom Skerritt, Nancy Allen	4.5	0
1032	1998	Horror	Exorcist II: The Heretic	1977	John Boorman	Linda Blair, Richard Burton	3.7	0
1033	2000	Action|Comedy|Crime|Drama	Lethal Weapon	1987	Richard Donner	Mel Gibson, Danny Glover	7.6	0
1036	2009	Sci-Fi|Thriller	Soylent Green	1973	Richard Fleischer	Charlton Heston, Leigh Taylor-Young	7.1	0
1039	2018	Animation|Children's	Bambi	1942	James Algar,Samuel Armstrong	Hardie Albright, Stan Alexander	7.4	0
1040	2021	Fantasy|Sci-Fi	Dune	1984	David Lynch	Francesca Annis, Leonardo Cimino	6.6	0
1042	2026	Horror|Thriller	Disturbing Behavior	1998	David Nutter	James Marsden, Katie Holmes	5.5	0
1047	2039	Adventure|Children's	Cheetah	1989	Jeff Blyth	Keith Coogan, Lucy Deakins	6.1	0
1049	2043	Adventure|Children's|Fantasy	Darby O'Gill and the Little People	1959	Robert Stevenson	Albert Sharpe, Janet Munro	7.2	0
1051	2046	Adventure|Children's|Sci-Fi	Flight of the Navigator	1986	Randal Kleiser	Joey Cramer, Paul Reubens	6.9	0
1057	2056	Adventure|Children's	In Search of the Castaways	1962	Robert Stevenson	Maurice Chevalier, Hayley Mills	6.7	0
1058	2061	Documentary	Full Tilt Boogie	1997	Sarah Kelly	Rick Stribling, Ken Bondy	6.5	0
1059	2066	Film-Noir	Out of the Past	1947	Jacques Tourneur	Robert Mitchum, Jane Greer	8.1	0
1068	2099	Adventure|Animation|Children's|Musical	Song of the South	1946	Wilfred Jackson,Harve Foster	Ruth Warrick, Bobby Driscoll	7.4	0
1076	2097	Children's|Horror	Something Wicked This Way Comes	1983	Jack Clayton	Jason Robards, Jonathan Pryce	6.8	0
1080	2113	Horror|Thriller	Graveyard Shift	1990	Ralph S. Singleton	David Andrews, Kelly Wolf	4.7	0
1081	2115	Action|Adventure	Indiana Jones and the Temple of Doom	1984	Steven Spielberg	Harrison Ford, Kate Capshaw	7.6	0
1083	2123	Animation|Children's	All Dogs Go to Heaven	1989	Don Bluth,Gary Goldman	Burt Reynolds, Dom DeLuise	6.7	0
1084	2119	Horror	Maximum Overdrive	1986	Stephen King	Emilio Estevez, Pat Hingle	5.4	0
1094	2122	Horror|Thriller	Children of the Corn	1984	Fritz Kiersch	Peter Horton, Linda Hamilton	5.6	0
1095	2126	Action|Crime|Mystery|Thriller	Snake Eyes	1998	Brian De Palma	Nicolas Cage, Gary Sinise	5.9	0
1096	2121	Horror|Thriller	Cujo	1983	Lewis Teague	Dee Wallace, Danny Pintauro	6.0	0
1099	2145	Comedy|Drama|Romance	Pretty in Pink	1986	Howard Deutch	Molly Ringwald, Harry Dean Stanton	6.7	0
1102	2160	Horror|Thriller	Rosemary's Baby	1968	Roman Polanski	Mia Farrow, John Cassavetes	8.0	0
1103	2167	Action|Adventure|Horror	Blade	1998	Stephen Norrington	Wesley Snipes, Stephen Dorff	7.1	0
1108	2178	Thriller	Frenzy	1972	Alfred Hitchcock	Jon Finch, Alec McCowen	7.5	0
1110	2179	Thriller	Topaz	1969	Alfred Hitchcock	Frederick Stafford, Dany Robin	6.3	0
1111	2180	Thriller	Torn Curtain	1966	Alfred Hitchcock	Paul Newman, Julie Andrews	6.7	0
1112	2181	Thriller	Marnie	1964	Alfred Hitchcock	Tippi Hedren, Sean Connery	7.2	0
1113	2185	Thriller	I Confess	1953	Alfred Hitchcock	Montgomery Clift, Anne Baxter	7.3	0
1116	2196	Action	Knock Off	1998	Hark Tsui	Jean-Claude Van Damme, Rob Schneider	4.7	0
1117	2186	Film-Noir|Thriller	Strangers on a Train	1951	Alfred Hitchcock	Farley Granger, Ruth Roman	8.1	0
1119	2198	Documentary	Modulations	1998	Iara Lee	Arthur Baker, Afrika Bambaataa	7.1	0
1122	2206	Mystery|Thriller	Suspicion	1941	Alfred Hitchcock	Cary Grant, Joan Fontaine	7.5	0
1123	2203	Film-Noir|Thriller	Shadow of a Doubt	1943	Alfred Hitchcock	Teresa Wright, Joseph Cotten	8.0	0
1125	2210	Thriller	Sabotage	1936	Alfred Hitchcock	Sylvia Sidney, Oskar Homolka	7.1	0
1126	2193	Action|Adventure|Fantasy	Willow	1988	Ron Howard	Val Kilmer, Joanne Whalley	7.3	0
1127	2204	Thriller	Saboteur	1942	Alfred Hitchcock	Priscilla Lane, Robert Cummings	7.2	0
1128	2221	Thriller	Blackmail	1929	Alfred Hitchcock	Anny Ondra, Sara Allgood	7.0	0
1133	2232	Sci-Fi|Thriller	Cube	1997	Vincenzo Natali	Nicole de Boer, Nicky Guadagni	7.3	0
1138	2243	Comedy|Drama|Romance	Broadcast News	1987	James L. Brooks	William Hurt, Albert Brooks	7.2	0
1141	2245	Comedy|Drama	Working Girl	1988	Mike Nichols	Harrison Ford, Sigourney Weaver	6.7	0
1143	2248	Comedy|Drama|Romance	Say Anything...	1989	Cameron Crowe	John Cusack, Ione Skye	7.4	0
1147	2256	Horror|Sci-Fi	Parasite	1982	Charles Band	Robert Glaudini, Demi Moore	3.5	0
1153	2267	Mystery|Thriller	Mortal Thoughts	1991	Alan Rudolph	Demi Moore, Glenne Headly	5.7	0
1154	2260	Action|Crime	Wisdom	1986	Emilio Estevez	Demi Moore, Emilio Estevez	5.7	0
1158	2275	Action|Adventure|Sci-Fi	Six-String Samurai	1998	Lance Mungia	Jeffrey Falcon, Justin McGuire	6.7	0
1159	2278	Action|Crime|Thriller	Ronin	1998	John Frankenheimer	Robert De Niro, Jean Reno	7.3	0
1160	2279	Horror|Thriller	Urban Legend	1998	Jamie Blanks	Jared Leto, Alicia Witt	5.5	0
1161	2281	Crime	Monument Ave.	1998	Ted Demme	Denis Leary, Ian Hart	6.7	0
1162	2280	Crime	Clay Pigeons	1998	David Dobkin	Joaquin Phoenix, Gregory Sporleder	6.6	0
1163	2273	Action|Thriller	Rush Hour	1998	Brett Ratner	Ken Leung, Jackie Chan	6.9	0
1164	2282	Comedy|Drama	Pecker	1998	John Waters	Edward Furlong, Christina Ricci	6.4	0
1169	2294	Animation|Children's	Antz	1998	Eric Darnell,Tim Johnson	Woody Allen, Dan Aykroyd	6.6	0
1170	2290	Comedy|Drama	Stardust Memories	1980	Woody Allen	Woody Allen, Charlotte Rampling	7.5	0
1173	2298	Thriller	Strangeland	1998	John Pieplow	Kevin Gage, Elizabeth Pea	4.9	0
1182	2315	Horror|Thriller	Bride of Chucky	1998	Ronny Yu	Jennifer Tilly, Brad Dourif	5.3	0
1186	2324	Comedy|Drama	Life Is Beautiful	1997	Roberto Benigni	Roberto Benigni, Nicoletta Braschi	8.6	0
1189	2327	Horror	Tales from the Darkside: The Movie	1990	John Harrison	Debbie Harry, David Forrester	6.2	0
1196	2338	Horror|Mystery|Thriller	I Still Know What You Did Last Summer	1998	Danny Cannon	Jennifer Love Hewitt, Freddie Prinze Jr.	4.6	0
1198	2340	Romance	Meet Joe Black	1998	Martin Brest	Brad Pitt, Anthony Hopkins	7.1	0
1206	2353	Action|Thriller	Enemy of the State	1998	Tony Scott	Will Smith, Gene Hackman	7.3	0
1211	2363	Action|Sci-Fi	Godzilla	1954	Ishir Honda	Akira Takarada, Momoko Kchi	7.5	0
1213	2368	Action|Adventure|Horror	King Kong Lives	1986	John Guillermin	Peter Elliott, George Antoni	3.7	0
1214	2366	Action|Adventure|Horror	King Kong	1933	Merian C. Cooper,Ernest B. Schoedsack	Fay Wray, Robert Armstrong	8.0	0
1215	2367	Action|Adventure|Horror	King Kong	1976	John Guillermin	Jeff Bridges, Charles Grodin	5.8	0
1218	2373	Action|Adventure	Red Sonja	1985	Richard Fleischer	Brigitte Nielsen, Arnold Schwarzenegger	5.0	0
1220	2374	Comedy|Drama	Gung Ho	1986	Ron Howard	Michael Keaton, Gedde Watanabe	6.2	0
1221	2377	Horror|Sci-Fi	Lifeforce	1985	Tobe Hooper	Steve Railsback, Peter Firth	6.1	0
1228	2392	Comedy|Drama	Jack Frost	1998	Troy Miller	Michael Keaton, Kelly Preston	5.2	0
1229	2393	Action|Sci-Fi	Star Trek: Insurrection	1998	Jonathan Frakes	Patrick Stewart, Jonathan Frakes	6.4	0
1233	2401	Western	Pale Rider	1985	Clint Eastwood	Clint Eastwood, Michael Moriarty	7.3	0
1235	2403	Action	First Blood	1982	Ted Kotcheff	Sylvester Stallone, Richard Crenna	7.7	0
1236	2404	Action|War	Rambo III	1988	Peter MacDonald	Sylvester Stallone, Richard Crenna	5.7	0
1237	2402	Action|War	Rambo: First Blood Part II	1985	George P. Cosmatos	Sylvester Stallone, Richard Crenna	6.4	0
1244	2414	Action|Adventure|Mystery	Young Sherlock Holmes	1985	Barry Levinson	Nicholas Rowe, Alan Cox	6.8	0
1247	2417	Comedy|Drama	Heartburn	1986	Mike Nichols	Meryl Streep, Jack Nicholson	6.0	0
1254	2431	Comedy|Drama	Patch Adams	1998	Tom Shadyac	Robin Williams, Daniel London	6.7	0
1265	2447	Comedy|Drama	Varsity Blues	1999	Brian Robbins	James Van Der Beek, Jon Voight	6.4	0
1266	2448	Horror|Sci-Fi	Virus	1999	John Bruno	Jamie Lee Curtis, William Baldwin	4.8	0
1267	2450	Adventure|Children's|Sci-Fi	Howard the Duck	1986	Willard Huyck	Lea Thompson, Jeffrey Jones	4.6	0
1268	2461	Horror	Leatherface: Texas Chainsaw Massacre III	1990	Jeff Burr	Kate Hodge, Ken Foree	5.1	0
1270	2465	Horror	Deadly Friend	1986	Wes Craven	Matthew Labyorteaux, Kristy Swanson	5.5	0
1272	2464	Horror	Trick or Treat	1986	Charles Martin Smith	Marc Price, Tony Fields	5.7	0
1279	2476	Action|War	Heartbreak Ridge	1986	Clint Eastwood	Clint Eastwood, Marsha Mason	6.8	0
1282	2477	Adventure	Firewalker	1986	J. Lee Thompson	Chuck Norris, Louis Gossett Jr.	4.9	0
1289	2490	Action|Thriller	Payback	1999	Brian Helgeland	Mel Gibson, Gregg Henry	7.1	0
1293	2497	Romance	Message in a Bottle	1999	Luis Mandoki	Kevin Costner, Robin Wright	6.1	0
1300	2513	Horror	Pet Sematary	1989	Mary Lambert	Dale Midkiff, Fred Gwynne	6.6	0
1301	2514	Horror	Pet Sematary II	1992	Mary Lambert	Edward Furlong, Anthony Edwards	4.7	0
1304	2527	Action|Sci-Fi|Thriller|Western	Westworld	1973	Michael Crichton	Yul Brynner, Richard Benjamin	7.1	0
1305	2525	Action|Horror|Sci-Fi	Alligator	1980	Lewis Teague	Robert Forster, Robin Riker	5.9	0
1306	2528	Action|Adventure|Sci-Fi	Logan's Run	1976	Michael Anderson	Michael York, Richard Jordan	6.8	0
1307	2530	Action|Sci-Fi	Beneath the Planet of the Apes	1970	Ted Post	James Franciscus, Kim Hunter	6.1	0
1308	2526	Sci-Fi	Meteor	1979	Ronald Neame	Sean Connery, Natalie Wood	4.9	0
1309	2532	Action|Sci-Fi	Conquest of the Planet of the Apes	1972	J. Lee Thompson	Roddy McDowall, Don Murray	6.1	0
1310	2531	Action|Sci-Fi	Battle for the Planet of the Apes	1973	J. Lee Thompson	Roddy McDowall, Claude Akins	5.5	0
1311	2533	Action|Sci-Fi	Escape from the Planet of the Apes	1971	Don Taylor	Roddy McDowall, Kim Hunter	6.3	0
1312	2534	Action	Avalanche	1978	Corey Allen	Rock Hudson, Mia Farrow	4.3	0
1313	2537	Adventure	Beyond the Poseidon Adventure	1979	Irwin Allen	Michael Caine, Sally Field	4.5	0
1314	2538	Documentary	Dancemaker	1998	Matthew Diamond	Andrew Asnes, Rachel Berman Benz	7.3	0
1320	2549	Action|Sci-Fi	Wing Commander	1999	Chris Roberts	Freddie Prinze Jr., Saffron Burrows	4.1	0
1324	2556	Comedy|Drama|Romance	Telling You	1998	Rob DeFranco	Peter Facinelli, Andy Berman	4.4	0
1331	2577	Comedy|Drama	Metroland	1997	Philip Saville	Christian Bale, Emily Watson	6.5	0
1333	2583	Mystery	Cookie's Fortune	1999	Robert Altman	Glenn Close, Julianne Moore	7.0	0
1338	2596	Comedy|Drama	SLC Punk!	1998	James Merendino	Matthew Lillard, Michael A. Goorjian	7.5	0
1340	2600	Action|Sci-Fi|Thriller	eXistenZ	1999	David Cronenberg	Jennifer Jason Leigh, Jude Law	6.8	0
1341	2605	Crime|Thriller	Entrapment	1999	Jon Amiel	Sean Connery, Catherine Zeta-Jones	6.2	0
1345	2613	Action|Horror|Sci-Fi	Night of the Comet	1984	Thom Eberhardt	Robert Beltran, Catherine Mary Stewart	6.4	0
1346	2615	Adventure|Sci-Fi	My Science Project	1985	Jonathan R. Betuel	John Stockwell, Danielle von Zerneck	6.0	0
1347	2616	Action|Crime	Dick Tracy	1990	Warren Beatty	Warren Beatty, Charlie Korsmo	6.1	0
1350	2625	Action	Black Mask	1996	Daniel Lee	Jet Li, Ching Wan Lau	6.1	0
1353	2628	Action|Adventure|Fantasy|Sci-Fi	Star Wars: Episode I - The Phantom Menace	1999	George Lucas	Liam Neeson, Ewan McGregor	6.5	0
1355	2641	Action|Adventure|Sci-Fi	Superman II	1980	Richard Lester,Richard Donner	Gene Hackman, Christopher Reeve	6.8	0
1357	2642	Action|Adventure|Sci-Fi	Superman III	1983	Richard Lester	Christopher Reeve, Richard Pryor	4.9	0
1358	2643	Action|Adventure|Sci-Fi	Superman IV: The Quest for Peace	1987	Sidney J. Furie	Christopher Reeve, Gene Hackman	3.7	0
1359	2647	Horror	House of Frankenstein	1944	Erle C. Kenton	Boris Karloff, Lon Chaney Jr.	6.3	0
1360	2649	Horror	Son of Frankenstein	1939	Rowland V. Lee	Basil Rathbone, Boris Karloff	7.2	0
1362	2661	Sci-Fi	It Came from Outer Space	1953	Jack Arnold	Richard Carlson, Barbara Rush	6.6	0
1363	2663	Sci-Fi	It Came from Beneath the Sea	1955	Robert Gordon	Kenneth Tobey, Faith Domergue	5.9	0
1364	2666	Sci-Fi	It Conquered the World	1956	Roger Corman	Peter Graves, Beverly Garland	4.9	0
1365	2668	Horror|Sci-Fi	Swamp Thing	1982	Wes Craven	Louis Jourdan, Adrienne Barbeau	5.4	0
1367	2669	War	Pork Chop Hill	1959	Lewis Milestone	Gregory Peck, Harry Guardino	7.1	0
1368	2677	Documentary	Buena Vista Social Club	1999	Wim Wenders	Compay Segundo, Eliades Ochoa	7.6	0
1369	2675	Comedy|Drama|Romance	Twice Upon a Yesterday	1998	Maria Ripoll	Lena Headey, Douglas Henshall	6.5	0
1375	2684	Comedy|Drama	Taxman	1999	Avi Nesher	Joe Pantoliano, Wade Dominguez	5.5	0
1376	2687	Animation|Children's	Tarzan	1999	Chris Buck,Kevin Lima	Brian Blessed, Glenn Close	7.2	0
1377	2689	Documentary	Get Bruce	1999	Andrew J. Kuehn	Whoopi Goldberg, Bette Midler	6.0	0
