director,cast,year,movie_name,rating
Mike Figgis,"Richard Gere,Lena Olin,Anne Bancroft,Tom Irwin,Delroy Lindo,Bruce Altman,Lauren Tom,Lisa Malkiewicz,Thomas Kopache,Peter Jurasik,Len Singer,Anna Maria Horsford,Edward Padilla,Baha Jackson,Epatha Harris",1993,Mr. Jones,5.7
Chris Columbus,"Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,Polly Holliday,Lisa Jakub,Matthew Lawrence,Mara Wilson,Robert Prosky,Anne Haney,Scott Capurro,Sydney Walker,Joe Bellan,Martin Mull,Karen Kahn",1993,Mrs. Doubtfire,6.9
Christopher Cain,"Pat Morita,Hilary Swank,Michael Ironside,Constance Towers,Chris Conrad,Arsenio 'Sonny' Trinidad,Michael Cavalieri,Walton Goggins,Jim Ishida,Rodney Kageyama,Seth Sakai,Eugene Boles,Keena Keel,Tom O'Brien,Thomas Downey",1994,The Next Karate Kid,4.3
Anthony Minghella,"Matt Dillon,Annabella Sciorra,Mary-Louise Parker,William Hurt,Vincent D'Onofrio,David Barry Gray,Dan Hedaya,Bruce Kirby,Luis Guzmn,Jessica Harper,Joanna Merlin,Jennifer Alonzi,Frank E. Smurlo Jr.,Bruce Altman,Peter Appel",1993,Mr. Wonderful,5.9
Rob Reiner,"Elijah Wood,Jason Alexander,Julia Louis-Dreyfus,Marc Shaiman,Jussie Smollett,Taylor Fry,Alana Austin,Peg Shirley,Chuck Cooper,Alan Zweibel,Donavon Dietz,Teddy Bergman,Michael Cipriani,Joran Corneal,Joshua Kaplan",1994,North,4.4
Michael Tolkin,"Peter Weller,Judy Davis,Patrick Bauchau,Rachel Rosenthal,Adam West,Paula Marshall,Bruce Ramsay,Tanya Pohlkotte,Susan Traylor,Patricia Heaton,John Diehl,Maureen Mueller,Sandra Seacat,Samuel L. Jackson,Audra Lindley",1994,The New Age,5.8
Clint Eastwood,"Kevin Costner,Clint Eastwood,Laura Dern,T.J. Lowther,Keith Szarabajka,Leo Burmester,Paul Hewitt,Bradley Whitford,Ray McKinnon,Jennifer Griffin,Leslie Flowers,Belinda Flowers,Darryl Cox,Jay Whiteaker,Taylor Suzanna McBride",1993,A Perfect World,7.5
Jane Campion,"Holly Hunter,Harvey Keitel,Sam Neill,Anna Paquin,Kerry Walker,Genevive Lemon,Tungia Baker,Ian Mune,Peter Dennett,Te Whatanui Skipwith,Pete Smith,Bruce Allpress,Cliff Curtis,Carla Rupuha,Mahina Tunui",1993,The Piano,7.6
Jonathan Demme,"Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,Karen Finley,Daniel Chapman,Mark Sorensen Jr.,Jeffrey Williamson,Charles Glenn,Ron Vawter,Anna Deavere Smith,Stephanie Roth Haberle,Lisa Talerico,Joanne Woodward,Jason Robards",1993,Philadelphia,7.7
David S. Ward,"James Caan,Halle Berry,Omar Epps,Craig Sheffer,Kristy Swanson,Abraham Benrubi,Duane Davis,Jon Pennell,Joey Lauren Adams,J.C. Quinn,Andrew Bryniarski,Leon Pridgen,Michael Flippo,Jeff Portell,Ernest Dixon",1993,The Program,6.4
John Singleton,"Janet Jackson,Tupac Shakur,Khandi Alexander,Ch J. Avery,Maya Angelou,Lloyd Avery II,Kimberly Brooks,Rico Bueno,Maia Campbell,Jeff Cantrel,Michael Colyar,Kina Cosper,John Cothran,Dina D.,Joe Dalu",1993,Poetic Justice,5.9
Mel Smith,"Brian Benben,Mary Stuart Masterson,Ned Beatty,George Burns,Scott Michael Campbell,Brion James,Michael Lerner,Michael McKean,Jeffrey Tambor,Stephen Tobolowsky,Christopher Lloyd,Larry Miller,Anita Morris,Corbin Bernsen,Rosemary Clooney",1994,Radioland Murders,6.2
Stuart Orme,"Donald Sutherland,Eric Thal,Julie Warner,Keith David,Will Patton,Richard Belzer,Tom Mason,Yaphet Kotto,Gerry Bamman,Sam Anderson,J. Patrick McCormack,Marshall Bell,Nicholas Cascone,Bruce Jarchow,Benjamin Mouton",1994,The Puppet Masters,5.9
Meg Staahl,"Kazuo Ishiguro,James Ivory,Ismail Merchant,John Calley,Anthony Hopkins,Emma Thompson,Christopher Reeve,James Fox,Luciana Arrighi,Cyril Dickman,Jenny Beavan,John Bright,Richard Robbins",2001,The Remains of the Day: The Filmmaker's Journey,7
Penny Marshall,"Danny DeVito,Gregory Hines,James Remar,Ed Begley Jr.,Lillo Brancato,Stacey Dash,Kadeem Hardison,Richard T. Jones,Khalil Kain,Peter Simmons,Gregory Sporleder,Mark Wahlberg,Cliff Robertson,Ben Wright,Ann Cusack",1994,Renaissance Man,6.1
Alan Parker,"Anthony Hopkins,Bridget Fonda,Matthew Broderick,John Cusack,Dana Carvey,Michael Lerner,Colm Meaney,John Neville,Lara Flynn Boyle,Traci Lind,Camryn Manheim,Roy Brocksmith,Norbert Weisser,Monica Parker,Jacob Reynolds",1994,The Road to Wellville,5.7
Mel Brooks,"Cary Elwes,Richard Lewis,Roger Rees,Amy Yasbeck,Mark Blankfield,Dave Chappelle,Isaac Hayes,Megan Cavanaugh,Eric Allan Kramer,Matthew Porretta,Tracey Ullman,Patrick Stewart,Dom DeLuise,Dick Van Patten,Robert Ridgely",1993,Robin Hood: Men in Tights,6.7
Philip Kaufman,"Sean Connery,Wesley Snipes,Harvey Keitel,Cary-Hiroyuki Tagawa,Kevin Anderson,Mako,Ray Wise,Stan Egi,Stan Shaw,Tia Carrere,Steve Buscemi,Tatjana Patitz,Peter Crombie,Sam Lloyd,Alexandra Powers",1993,Rising Sun,6.2
Peter Medak,"Gary Oldman,Wallace Wood,Juliette Lewis,David Proval,Will Patton,Gene Canfield,Larry Joshua,Michael Wincott,Lena Olin,William Duff-Griffin,James Cromwell,Paul Butler,Annabella Sciorra,Tony Sirico,Victoria Bastel",1993,Romeo Is Bleeding,6.6
Fred Dekker,"Robert John Burke,Mario Machado,Remy Ryan,Jodi Long,John Posey,Rip Torn,Mako,John Castle,S.D. Nemeth,Edith Ivey,Curtis Taylor,CCH Pounder,Judson Vaughn,Ken Strong,Stanley Anderson",1993,RoboCop 3,3.9
Ted Demme,"Denis Leary,Judy Davis,Kevin Spacey,Robert J. Steinmiller Jr.,Glynis Johns,Raymond J. Barry,Richard Bright,Christine Baranski,Adam LeFevre,Phillip Nicoll,Ellie Raab,Bill Raymond,John Scurti,Jim Turner,Herbie Ade",1994,The Ref,6.9
Geoffrey Wright,"Russell Crowe,Daniel Pollock,Jacqueline McKenzie,Alex Scott,Leigh Russell,Dan Wyllie,James McKenna,Eric Mueck,Frank Magree,Chris McLean,Josephine Keen,Samantha Bladon,Tony Lee,John Brumpton,Don Bridges",1992,Romper Stomper,6.8
David Anspaugh,"Sean Astin,Jon Favreau,Ned Beatty,Greta Lind,Scott Benjaminson,Mary Ann Thebus,Charles S. Dutton,Lili Taylor,Christopher Reed,Deborah Wittenberg,Christopher Erwin,Kevin Duda,Robert Benirschke,Luke Massery,Robert J. Steinmiller Jr.",1993,Rudy,7.5
Victor Nunez,"Ashley Judd,Todd Field,Bentley Mitchum,Allison Dean,Dorothy Lyman,Betsy Douds,Felicia Hernndez,Divya Satia,Bobby Barnes,Sharon Lewis,Paul E. Mills,Brik Berkes,Abigail McKelvey,Kristina Daman,Mark Limmer",1993,Ruby in Paradise,7.2
Steven Spielberg,"Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall,Embeth Davidtz,Malgorzata Gebel,Shmuel Levy,Mark Ivanir,Batrice Macola,Andrzej Seweryn,Friedrich von Thun,Krzysztof Luft,Harry Nehring,Norbert Weisser",1993,Schindler's List,8.9
Cyril Collard,"Cyril Collard,Romane Bohringer,Carlos Lpez,Corine Blue,Claude Winter,Ren-Marc Bini,Maria Schneider,Clmentine Clari,Laura Favali,Denis D'Arcangelo,Jean-Jacques Jauffret,Assa Djabri,Francisco Gimnez,Marine Delterme,Yannick Tolila",1992,Savage Nights,7.1
Steven Zaillian,"Max Pomeranc,Joe Mantegna,Joan Allen,Ben Kingsley,Laurence Fishburne,Michael Nirenberg,Robert Stephens,David Paymer,Hal Scardino,Vasek Simek,William H. Macy,Dan Hedaya,Laura Linney,Anthony Heald,Steven Randazzo",1993,Searching for Bobby Fischer,7.5
Tim Hunter,"Danny Glover,Matt Dillon,Rick Aviles,Nina Siemaszko,Ving Rhames,Joe Seneca,Harry Ellington,Ralph Hughes,Bahni Turpin,Robert Beatty,Reuben Schafer,Louis Williams,Adam Trese,Kevin Corrigan,Brian Tarantina",1993,The Saint of Fort Washington,7.2
Michael Ritchie,"Albert Brooks,Brendan Fraser,Dianne Wiest,Anne Twomey,Lane Smith,Michael Rapaport,Barry Shabaka Henley,John Capodice,Garfield,Louis Giovannetti,Stephen Demek,Ralph Drischell,Brett Rickaby,Jack Rader,Marcia Rodd",1994,The Scout,5.3
John Waters,"Kathleen Turner,Sam Waterston,Ricki Lake,Matthew Lillard,Scott Morgan,Walt MacPherson,Justin Whalin,Patricia Dunnock,Lonnie Horsey,Mink Stole,Mary Jo Catlett,John Badila,Kathy Fannon,Doug Roberts,Traci Lords",1994,Serial Mom,6.7
Chris Menges,"William Hurt,Nathan Yapp,Keith Allen,Chris Cleary Miles,Doris Irving,James Warrior,Jane Horrocks,Alfred Lynch,Rachel Freeman,Gus Troakes,Mossie Smith,Martin Troakes,Shaun Dingwall,Paul Wilson,Alan Cumming",1994,Second Best,7.2
Russell Mulcahy,"Alec Baldwin,John Lone,Penelope Ann Miller,Peter Boyle,Ian McKellen,Tim Curry,Jonathan Winters,Sab Shimono,Andre Gregory,Brady Tsurutani,James Hong,Arsenio 'Sonny' Trinidad,Joseph Maher,John Kapelos,Max Wright",1994,The Shadow,6
Richard Attenborough,"Julian Fellowes,Roddy Maude-Roxby,Michael Denison,Andrew Seear,Tim McMullan,John Wood,Andrew Hawkins,Peter Howell,Anthony Hopkins,Edward Hardwicke,Robert Flemyng,James Frain,Toby Whithouse,Daniel Goode,Scott Handy",1993,Shadowlands,7.4
Gillies MacKinnon,"Steve Martin,Gabriel Byrne,Laura Linney,Catherine O'Hara,Alana Austin,Alyssa Austin,Alaina Mobley,Callie Mobley,Victoria Evans,Elizabeth Evans,Stephen Baldwin,Byron Jennings,Michael Des Barres,Tim Ware,David Dwyer",1994,A Simple Twist of Fate,6.3
Robert Altman,"Andie MacDowell,Bruce Davison,Jack Lemmon,Zane Cassidy,Julianne Moore,Matthew Modine,Anne Archer,Fred Ward,Jennifer Jason Leigh,Chris Penn,Joseph C. Hopkins,Josette Maccario,Lili Taylor,Robert Downey Jr.,Madeleine Stowe",1993,Short Cuts,7.7
Nora Ephron,"Tom Hanks,Ross Malinger,Rita Wilson,Victor Garber,Tom Riis Farrell,Carey Lowell,Meg Ryan,Bill Pullman,Le Clanch du Rand,Kevin O'Morrison,David Hyde Pierce,Valerie Wright,Frances Conroy,Tom Tammi,Calvin Trillin",1993,Sleepless in Seattle,6.8
Phillip Noyce,"Sharon Stone,William Baldwin,Tom Berenger,Polly Walker,Colleen Camp,Amanda Foreman,Martin Landau,CCH Pounder,Nina Foch,Keene Curtis,Nicholas Pryor,Anne Betancourt,Tony Peck,Frantz Turner,Melvyn Kinder",1993,Sliver,4.9
Fred Schepisi,"Stockard Channing,Will Smith,Donald Sutherland,Ian McKellen,Mary Beth Hurt,Bruce Davison,Richard Masur,Anthony Michael Hall,Heather Graham,Eric Thal,Anthony Rapp,Osgood Perkins,Catherine Kellner,J.J. Abrams,Joe Pentangelo",1993,Six Degrees of Separation,6.9
Eytan Fox,"Dalit Kahan,Boaz Gur-Lavi,Yair Lapid,Orly Silbersatz Banai,Avital Dicker,Meir Suissa,Dudu Ben-Zeev,Rami Baruch,Nissim Zohar,Karin Ophir,Charlie Buzaglo,Chan Chagi,Rosina Kambus,Amona Zvi,David Smadar",1994,The Song of the Siren,6.7
Steve Rash,"Pauly Shore,Carla Gugino,Lane Smith,Cindy Pickett,Mason Adams,Patrick Renna,Dennis Burkley,Tiffani Thiessen,Dan Gauthier,Ria Pavia,Lisa Lawrence,Graham Jarvis,Nick Light,Ernie Kinney,Troy Shire",1993,Son in Law,5.6
Ridley Scott,"Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh,Daryl Hannah,William Sanderson,Brion James,Joe Turkel,Joanna Cassidy,James Hong,Morgan Paull,Kevin Thompson,John Edward Allen,Hy Pyke",1982,Blade Runner,8.2
Rowdy Herrington,"Bruce Willis,Sarah Jessica Parker,Dennis Farina,Tom Sizemore,Brion James,Robert Pastorelli,Timothy Busfield,John Mahoney,Andre Braugher,Tom Atkins,Mike Hodge,Jodi Long,Roscoe Orman,Robert Gould,Gareth Williams",1993,Striking Distance,5.8
"Annabel Jankel,Rocky Morton","Bob Hoskins,John Leguizamo,Dennis Hopper,Samantha Mathis,Fisher Stevens,Richard Edson,Fiona Shaw,Dana Kaminski,Mojo Nixon,Gianni Russo,Francesca P. Roberts,Lance Henriksen,Sylvia Harman,Desiree Marie Velez,Andrea Powell",1993,Super Mario Bros.,4
Thomas Schlamme,"Mike Myers,Nancy Travis,Anthony LaPaglia,Amanda Plummer,Brenda Fricker,Matt Doherty,Charles Grodin,Phil Hartman,Debi Mazar,Steven Wright,Patrick Bristow,Cintra Wilson,Al Nalbandian,George F. Mauricio,Kiki Douveas",1993,So I Married an Axe Murderer,6.4
Leon Ichaso,"Wesley Snipes,Khandi Alexander,DeVaughn Nixon,Marquise Wilson,O.L. Duke,Clarence Williams III,Abe Vigoda,Anthony Thomas,Michael Wright,John Pittman,Steve Harris,Michael Guess,Kimberly Russell,Theresa Randle,Abdul Mutakabbir",1993,Sugar Hill,5.9
Ernest R. Dickerson,"Ice-T,Rutger Hauer,Charles S. Dutton,Gary Busey,F. Murray Abraham,John C. McGinley,William McNamara,Jeff Corey,Bob Minor,Lawrence C. McCoy,George Fisher,Jacqui Dickerson,Victor Morris,Frederic Collins Jr.,Steven King",1994,Surviving the Game,6.1
Franois Girard,"Colm Feore,Derek Keurvorst,Katya Ladan,Devon Anderson,Joshua Greenblatt,Sean Ryan,Kate Hennig,Sean Doyle,Sharon Bernbaum,Don McKellar,David Hughes,Carlo Rota,Peter Millard,John Dolan,Allegra Fulton",1993,Thirty Two Short Films About Glenn Gould,7.5
Andrew Fleming,"Lara Flynn Boyle,Stephen Baldwin,Josh Charles,Alexis Arquette,Martha Gehman,Mark Arnold,Michele Matheson,Joanne Baron,Jennifer Lawler,Jack Breschard,Jillian Johns,Amy Ferioli,Jason Workman,Katherine Kousi,Kathleen Beaton",1994,Threesome,6.2
"George P. Cosmatos,Kevin Jarre","Kurt Russell,Val Kilmer,Sam Elliott,Bill Paxton,Powers Boothe,Michael Biehn,Charlton Heston,Jason Priestley,Jon Tenney,Stephen Lang,Thomas Haden Church,Dana Delany,Paula Malcomson,Lisa Collins,Dana Wheeler-Nicholson",1993,Tombstone,7.8
Deran Sarafian,"Charlie Sheen,Nastassja Kinski,James Gandolfini,Christopher McDonald,Gary Bullock,Hans Howes,Melvin Van Peebles,Suli McCullough,Cathryn de Prume,Richard Sarafian Jr.,Lori Lynn Dickerson,Terry Finn,Martha Vazquez,Tim Kelleher,Brooke Langton",1994,Terminal Velocity,5.4
Henry Selick,"Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,Glenn Shadix,Paul Reubens,Ken Page,Edward Ivory,Susan McBride,Debi Durst,Greg Proops,Kerry Katz,Randy Crenshaw,Sherwood Ball,Carmen Twillie",1993,The Nightmare Before Christmas,8
Tony Scott,"Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,Gary Oldman,Brad Pitt,Christopher Walken,Bronson Pinchot,Samuel L. Jackson,Michael Rapaport,Saul Rubinek,Conchata Ferrell,James Gandolfini,Anna Levine,Victor Argo",1993,True Romance,8
Heywood Gould,"Joanne Whalley,Armand Assante,Gabriel Byrne,William Hurt,Kathleen Quinlan,Margaret Whitton,Ed Lauter,Richard Portnow,Lisa Arrindell,Jack Gwaltney,Graham Jarvis,William R. Moses,Joe Santos,Beau Starr,Bryan Shilowich",1994,Trial by Jury,5.3
"Chris Hegedus,D.A. Pennebaker","James Carville,George Stephanopoulos,Heather Beckel,Paul Begala,Bob Boorstin,Michael Donnilon,Jeff Eller,Stanley Greenberg,Mandy Grunwald,Harold Ickes,Mickey Kantor,Mary Matalin,Mitchell Schwartz,Dave Anderson,Collier Andress",1993,The War Room,7.5
Pier Paolo Pasolini,"Anna Magnani,Ettore Garofolo,Franco Citti,Silvana Corsini,Luisa Loiano,Paolo Volponi,Luciano Gonini,Vittorio La Paglia,Piero Morgia,Franco Ceccarelli,Marcello Sorrentino,Sandro Meschino,Franco Tovo,Pasquale Ferrarese,Leandro Santarelli",1962,Mamma Roma,7.9
Jennifer Warren,"Martha Plimpton,Kelly Lynch,Rutger Hauer,Patrick McGaw,Richard Sanders,Lance Robinson,Rae Adams,Ariana Lamon-Anderson,Michael MacRae,James Gervasi,Sue Ann Gilfillan,Susanna Burney,Marjorie Nelson,Jim Chiros,Todd Moore",1994,"The Beans of Egypt, Maine",5.3
"Pixote Hunt,Joe Johnston","Macaulay Culkin,Kanin Howell,Alexis Kirschner,Jessica Kirschner,Guy Mansker,Brandon S. McKay,Stephen Sheehan,Ed Begley Jr.,Mel Harris,Christopher Lloyd,Patrick Stewart,Whoopi Goldberg,Frank Welker,Leonard Nimoy,George Hearn",1994,The Pagemaster,5.9
Jerry Ciccoritti,"Leslie Hope,Peter Outerbridge,Victor Ertmanis,Dan Lett,Raoul Max Trujillo,Patricia Ciccoritti",1993,"Paris, France",5.3
Todd Solondz,"Heather Matarazzo,Victoria Davis,Christina Brucato,Christina Vidal,Siri Howard,Brendan Sexton III,Telly Pontidis,Herbie Duarte,Scott Coogan,Daria Kalinina,Matthew Faber,Josiah Trager,Ken Leung,Dimitri DeFresco,Rica Martens",1995,Welcome to the Dollhouse,7.5
Claude Berri,"Miou-Miou,Renaud,Jean Carmet,Judith Henry,Jean-Roger Milo,Grard Depardieu,Laurent Terzieff,Bernard Fresson,Jean-Pierre Bisson,Jacques Dacqmine,Anny Duperey,Grard Croce,Frdric van den Driessche,Annick Alane,Pierre Lafont",1993,Germinal,7.1
Mark Malone,"Anthony LaPaglia,Mimi Rogers,Matt Craven,Peter Boyle,Monika Schnarre,Joseph Maher,Mark Acheson,Philip Maurice Hayes,Christopher Mark Pinhey,Claudio Masciulli,Justine Priestley",1994,Killer,6.1
Dennis Hopper,"Tom Berenger,William McNamara,Erika Eleniak,Crispin Glover,Matthew Glave,Grand L. Bush,Dean Stockwell,Bitty Schram,Gary Busey,Seymour Cassel,Frederic Forrest,Marilu Henner,Dennis Hopper,Scott Marlowe,Jim Grimshaw",1994,Chasers,4.9
Daniel Algrant,"Eric Stoltz,Mary-Louise Parker,Ralph Macchio,Jill Clayburgh,Tony Curtis,Timothy Dalton,Lynne Thigpen,Kathleen Turner,Roscoe Lee Browne,Whoopi Goldberg,Paul Guilfoyle,Calista Flockhart,Arabella Field,LisaGay Hamilton,David Johansen",1993,Naked in New York,5.7
Pedro Almodvar,"Vernica Forqu,Peter Coyote,Victoria Abril,lex Casanovas,Rossy de Palma,Santiago Lajusticia,Anabel Alonso,Bibiana Fernndez,Jess Bonilla,Karra Elejalde,Manuel Bandera,Charo Lpez,Francisca Caballero,Mnica Bardem,Joaqun Climent",1993,Kika,6.5
Gurinder Chadha,"Kim Vithana,Jimmi Harkishin,Sarita Khajuria,Akbar Kurtha,Mo Sesay,Lalita Ahmed,Shaheen Khan,Zohra Segal,Amer Chadha-Patel,Nisha Nayar,Renu Kochar,Surendra Kochar,Souad Faress,Tanveer Ghani,Peter Cellier",1993,Bhaji on the Beach,6.5
Andrew Scheinman,"Luke Edwards,Timothy Busfield,John Ashton,Ashley Crow,Kevin Dunn,Billy L. Sullivan,Miles Feulner,Jonathan Silverman,Dennis Farina,Jason Robards,Wolfgang Bodison,Duane Davis,Leon Durham,Kevin Elster,Joseph Latimore",1994,Little Big League,6
David O. Russell,"Jeremy Davies,Elizabeth Newett,Benjamin Hendrickson,Alberta Watson,Carla Gallo,Liberty Jean,Archer Martin,Matthew Puckett,Zak Orth,Josh Philip Weinstein,Judah Domke,Nancy Fields,Judette Jones,Carmine Paolini,Neil Connie Wallace",1994,Spanking the Monkey,6.3
Leslie Megahey,"Colin Firth,Ian Holm,Donald Pleasence,Amina Annabi,Nicol Williamson,Michael Gough,Harriet Walter,Jim Carter,Lysette Anthony,Sophie Dix,Vincent Grass,Elizabeth Spriggs,Raoul Delfosse,Justin Chadwick,Jean-Pierre Stewart",1993,The Advocate,6.8
Rmy Duchemin,"Ken Higelin,Jean Yanne,Florence Darel,Franois Hauteserre,Maurice Bnichou,Bruce Myers,Mat Nahyr,Franois Chattot,Arthur H.,Marianne Groves,Frdrique Lopez,Alfred Cohen,Renaud Mnager,Arnaud Churin,Clara Bellar",1993,la mode,5.9
Eva Sereny,"Robin Givens,Marco Hofschneider,Rick Johnson,Charlotte Ross,Edward Herrmann,Jack Coleman,Charles S. Dutton,Hinton Battle,Anthony Herrera,Bob Child,David Long,Ruth Williamson,Michael Reilly Burke,Michael Goodwin,Jon Hendricks",1994,Foreign Student,5.8
Michael Austin,"Jim Broadbent,Phoebe Cates,Wendy Hughes,Kevin Kline,John Lithgow,Stephen Rea,Peter Eyre,Jacqueline Pearce,Roger Lloyd Pack,John Wells,John Lynch,John Sessions,Arkie Whiteley,Kate Ashfield,Ewan Bailey",1994,Princess Caraboo,6
Ricky Tognazzi,"Claudio Amendola,Enrico Lo Verso,Carlo Cecchi,Ricky Memphis,Tony Sperandeo,Lorenza Indovina,Ugo Conti,Rita Savagnone,Giovanni Alamia,Francesca d'Aloja,Giovanni Pallavicino,Giacinto Ferro,Guia Jelo,Benedetto Raneli,Francesco Siciliano",1993,La scorta,6.9
James Cameron,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Earl Boen,Joe Morton,S. Epatha Merkerson,Castulo Guerra,Danny Cooksey,Jenette Goldstein,Xander Berkeley,Leslie Hamilton Gearren,Ken Gibbel,Robert Winley,Peter Schrum",1991,Terminator 2: Judgment Day,8.5
Mara Luisa Bemberg,"Marcello Mastroianni,Luisina Brando,Alejandra Podesta,Betiana Blum,Roberto Carnaghi,Alberto Segado,Mnica Lacoste,Jorge Luz,Mnica Villa,Juan Manuel Tenuta,Tina Serrano,Vernica Llins,Susana Cortnez,Martin Kalwill,Walter Marn",1993,I Don't Want to Talk About It,7
Jerry Zucker,"Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,Stanley Lawrence,Christopher J. Keene,Susan Breslau,Martina Deignan,Rick Kleber,Macka Foley,Rick Aviles,Phil Leeds,John Hugh,Sam Tsoutsouvas,Sharon Breslau",1990,Ghost,7
Betty Thomas,"Shelley Long,Gary Cole,Christine Taylor,Christopher Daniel Barnes,Jennifer Elise Cox,Paul Sutera,Olivia Hack,Jesse Lee Soffer,Henriette Mantel,David Graf,Florence Henderson,Jack Noseworthy,Megan Ward,Jean Smart,Michael McKean",1995,The Brady Bunch Movie,5.9
Kevin Costner,"Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,Floyd 'Red Crow' Westerman,Tantoo Cardinal,Robert Pastorelli,Charles Rocket,Maury Chaykin,Jimmy Herman,Nathan Lee Chasing His Horse,Michael Spears,Jason R. Lone Hill,Tony Pierce,Doris Leader Charge",1990,Dances with Wolves,8
"Ron Clements,John Musker","Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman,Frank Welker,Gilbert Gottfried,Douglas Seale,Charles Adler,Jack Angel,Corey Burton,Philip L. Clarke,Jim Cummings,Jennifer Darling,Debi Derryberry,Bruce Gooch",1992,Aladdin,8
,,,Batman (1989),7.6
Steve Cohen,"Billy Blanks,Roddy Piper,Richard Norton,Charles Kahlenberg,James Karen,Gary Kasper,Sal Landi,Phil Morris,Lisa Stahl,Brant von Hoffman,Frank Di Paolo,Ronald E. House,Lisa Comshaw,Robert Werhan,Ed Berke",1995,Tough and Deadly,5.9
"William Cottrell,David Hand","Roy Atwell,Stuart Buchanan,Adriana Caselotti,Hall Johnson Choir,Eddie Collins,Pinto Colvig,Marion Darlington,Billy Gilbert,Otis Harlan,Lucille La Verne,Scotty Mattraw,Moroni Olsen,Purv Pullen,Harry Stockwell",1937,Snow White and the Seven Dwarfs,7.7
"Norman Ferguson,T. Hee","Mel Blanc,Don Brodie,Walter Catlett,Marion Darlington,Frankie Darro,Cliff Edwards,Dickie Jones,Charles Judels,Clarence Nash,Patricia Page,Christian Rub,Evelyn Venable",1940,Pinocchio,7.5
Garry Marshall,"Richard Gere,Julia Roberts,Ralph Bellamy,Jason Alexander,Laura San Giacomo,Alex Hyde-White,Amy Yasbeck,Elinor Donahue,Hector Elizondo,Judith Baldwin,Jason Randal,Bill Applebaum,Tracy Bjork,Gary Greene,Billy Gallo",1990,Pretty Woman,6.9
C.M. Talkington,"Gil Bellows,Rene Zellweger,Rory Cochrane,Jeffrey Combs,Jace Alexander,Ann Wedgeworth,Peter Fonda,Tammy Le Blanc,Wiley Wiggins,Jack Nance,Charlotte Ross,Michael Bowen,Scott Roland,Todd Conner,Richard Rothenberg",1994,Love and a .45,6.1
Sam Peckinpah,"William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,Warren Oates,Jaime Snchez,Ben Johnson,Emilio Fernndez,Strother Martin,L.Q. Jones,Albert Dekker,Bo Hopkins,Dub Taylor,Paul Harper,Jorge Russek",1969,The Wild Bunch,8
Michael Hoffman,"Michelle Pfeiffer,George Clooney,Mae Whitman,Alex D. Linz,Charles Durning,Jon Robin Baitz,Ellen Greene,Joe Grifasi,Pete Hamill,Anna Maria Horsford,Gregory Jbara,Sheila Kelley,Barry Kivel,Robert Klein,George Martin",1996,One Fine Day,6.4
Yuri Mamin,"Agns Soral,Sergey Dreyden,Viktor Mikhaylov,Nina Usatova,Kira Kreylis-Petrova,Natalya Ipatova,Viktor Gogolev,Tamara Timofeeva,Andrey Urgant,Jean Rupert,Malka Ribowska,Bernard Cassus-Soulanis,Vladimir Kaliche,Aleksei Zalivalov,Aleksei Kozodayev",1993,Window to Paris,7.4
Jean Bach,"Quincy Jones,Dizzy Gillespie,Sonny Rollins,Buck Clayton,Art Blakey,Hank Jones,Art Farmer,Johnny Griffin,Milt Hinton,Chubby Jackson,Scoville Browne,Felix Maxwell,Paula Morris,Taft Jordan Jr.,Everard Powell",1994,A Great Day in Harlem,7.6
"Joel Coen,Ethan Coen","William H. Macy,Steve Buscemi,Peter Stormare,Kristin Rudrd,Harve Presnell,Tony Denman,Gary Houston,Sally Wingert,Kurt Schweickhardt,Larissa Kokernot,Melissa Peterman,Steve Reevis,Warren Keith,Steve Edelman,Sharon Anderson",1996,Fargo,8.2
Sam Weisman,"Matthew Modine,Randy Quaid,Paul Reiser,Janeane Garofalo,Amy Brenneman,Eliza Dushku,Ed Flanders,Maria Pitillo,Lindsay Crouse,Ross Malinger,Johnny Whitworth,Wendell Pierce,Cameron Boyd,Mae Whitman,Jayne Brook",1995,Bye Bye Love,6.1
Bill Condon,"Tony Todd,Kelly Rowan,William O'Leary,Bill Nunn,Matt Clark,David Gianopoulos,Fay Hauser,Joshua Gibran Mayweather,Timothy Carhart,Veronica Cartwright,Caroline Barclay,Michael Bergeron,Brianna Blanchard,Clotiel Bordeltier,Russell Buchanan",1995,Candyman: Farewell to the Flesh,5.2
Jianxin Huang,"Shih Chang,Mingjun Kao,Pao-Ming Ku,Fuli Wang,Lan Wang,Yumei Wang",1994,Wu kui,7
